provider,category,url,frontend,registration_open,payment_enabled,subscription_enabled,available_channels,free_offer,price_basis,cheapest_published,rate_card_published,reach_3_rounds,evidence,source_quality
CCTK.AI,relay,https://cctk.ai,sub2api v0.2.0,yes,yes,no,yes,none published,group multiplier on official rate,0.6x GPT-Pro group; Claude group 2.1x,yes (formula + worked examples),3/3,home.cctk.ai pricing; /api/v1/settings/public,VERIFIED
OpenModel,relay/aggregator,https://www.openmodel.ai,Next.js custom,unknown,unknown,unknown,unknown,$0/mo minimum (no free credit published),"catalog price, no platform fee; client discount","0.40x (Claude, 'up to 60% OFF')","yes (48 models, per-model input/output)",3/3,openmodel.ai/model-pricing,VERIFIED
ETok,relay,https://etok.ai,custom,unknown,unknown,unknown,unknown,none published,unknown (login/checkout),UNKNOWN,no (models pages 404),3/3,etok.ai landing,UNKNOWN
APIKEY.FUN,relay,https://apikey.fan,sub2api,yes,yes,no,no,up to 5% off recharges,unknown (login),UNKNOWN (advertised 7% of original rate),no,3/3,apikey.fan landing + /api/v1/settings/public,ADVERTISED
AIGoCode,relay/workspace,https://aigocode.com,Next.js custom,unknown,yes,yes,unknown,10% bonus credit on first top-up,flat 4-week subscription + credit,Pro CNY399/4wk for $440 credit,yes (3 tiers),3/3,aigocode.com/#pricing,VERIFIED
CodexEverywhere,relay,https://codex-everywhere.com,sub2api,yes,yes,no,no,$20 free trial,pool multiple on official OpenAI/Anthropic/xAI/Google,0.03x Codex Plus Pool; 0.045x Kiro; 0.06x Antigravity; 0.24x Max,yes (models + pools),3/3,docs.codex-everywhere.com/models/,VERIFIED
BmoPlus,account reseller,https://shop.bmoplus.com,custom,unknown,unknown,unknown,unknown,none published,resale of official subscriptions,UNKNOWN (advertised 10% of official GPT sub),no,3/3,shop.bmoplus.com landing,ADVERTISED
Pateway,relay,https://pateway.ai,custom,yes,yes,no,unknown,"$1 signup + $3 first purchase, up to $66","official rate, no markup, plus top-up bonuses",1.0x official + bonuses,no,3/3,pateway.ai landing,ADVERTISED
PPToken,relay,https://api.pptoken.cc,sub2api,yes,yes,yes,no,"promo trial credits (promo code SUB2API, first 200)",unknown (login),"UNKNOWN (advertised 0.16x GPT, '~2.2% of official')",no,3/3,api.pptoken.cc landing + /api/v1/settings/public,ADVERTISED
Aimzoon,relay,http://aimzoon.com,sub2api (placeholder shell),unknown,unknown,unknown,unknown,free trial credits,unknown (login),UNKNOWN,no,3/3,aimzoon.com (798-byte shell),UNKNOWN
